IPC主分类,发明名称,摘要
G09G3/36  ,一种显示装置及其显示驱动方法、存储介质 [发明],本申请公开了一种显示装置及其显示驱动方法、存储介质，该显示驱动方法包括：获取显示区域的第一图像信号，第一图像信号至少包括目标子像素的原始灰阶值；根据原始灰阶值确定补偿系数和补偿数据；根据补偿数据确定第一影响量和第二影响量，第一影响量表示当前数据线对上一帧图像的影响，第二影响量表示当前数据线对当前帧图像的影响；根据补偿系数、第一影响量和第二影响量，确定补偿值；采用补偿值对原始灰阶值进行补偿，以得到第二图像信号，从而根据第二图像信号对显示区域进行显示驱动。通过上述方式，能够提高显示装置的显示品质。
H05B45/10  ,一种具有视频播放效果的LED舞台灯及其使用方法 [发明],本发明涉及舞台照明技术领域，且公开了一种具有视频播放效果的LED舞台灯，包括：包括电脑、DMX控制台、舞台灯，所述电脑通过网线与舞台灯连接；所述DMX控制台通过DMX信号传输线与舞台灯连接，用于控制舞台灯的光输出强度、颜色、电机运动、输入信号源的设置；所述舞台灯包括：主控模块、电机模块、主灯控制模块，风扇模块、交换机模块、视频处理模块和RGB灯控制模块。能够实时播放电脑上的图片视频效果，不需要设备具有很大的内存存储图案数据，降低成本；通过多台设备的搭建组合，捕获不同视频画面显示区域，使多台设备组合能够显示完整的视频播放画面，解决单台舞台灯设备分辨率不足的问题。
G09G3/34  ,基于显示模组背光的画面优化方法及系统 [发明],本申请涉及人工智能技术领域，公开了一种基于显示模组背光的画面优化方法及系统。所述方法包括：创建背光模组模型并采集多个目标背光模组参数；进行画面优化执行策略分析，得到初始画面优化执行策略；进行背光光谱分析和线性规划求解，得到初始背光光谱优化参数；进行局部调光优化，得到目标背光光谱优化参数；基于初始画面优化执行策略对背光模组模型进行LED阵列分析和傅里叶级数优化，得到目标LED阵列优化参数；根据目标背光光谱优化参数以及目标LED阵列优化参数对初始画面优化执行策略进行策略优化和模组整合测试，得到目标画面优化执行策略，进而提高了显示模组背光的画面优化准确率。
G09G3/32  ,主动发光显示驱动电路、驱动方法及像素单元 [发明],本发明提供一种主动发光显示驱动电路、驱动方法及像素单元，包括：驱动单元，与主动发光管连接，接收驱动电压，并将所述驱动电压转换为第一电流输出，所述第一电流用于对对应主动发光管的驱动电流进行细调；数模转换单元，并联于所述驱动单元中驱动管的两端，基于数字控制信号产生与所述第一电流并联的第二电流，所述第二电流用于对对应主动发光管的驱动电流进行粗调；其中，所述第一电流与所述第二电流的和为对应主动发光管的驱动电流。本发明可大大降低对驱动电压和信号控制的要求。
G09G3/20  ,一种显示装置及其显示驱动方法、存储介质 [发明],本申请公开了一种显示装置及其显示驱动方法、存储介质，该显示驱动方法包括：获取显示区域的第一图像信号；根据原始灰阶值确定补偿系数和补偿数据；根据补偿数据确定第一影响量和第二影响量，第一影响量表示当前数据线对上一帧图像的影响，第二影响量表示当前数据线对当前帧图像的影响；根据第一影响量确定第三影响量，以及根据第二影响量确定第四影响量，第三影响量表示相邻数据线对上一帧图像的影响，第四影响量表示相邻数据线对当前帧图像的影响；根据补偿系数、第三影响量和第四影响量，确定补偿值；采用补偿值对原始灰阶值进行补偿，以得到第二数据信号。通过上述方式，能够提高显示装置的显示品质。
G09G5/10  ,一种基于数字化的像素电路数据调控系统及方法 [发明],本发明公开了一种基于数字化的像素电路数据调控系统及方法，属于机器学习技术领域。该系统包括交互管理模块、数据采集模块、电量监测模块、用户偏好分析模块、像素电路调控模块和数据库；所述交互管理模块用于对输出图像进行显示，并为用户提供屏幕操作界面；所述数据采集模块用于采集设备屏幕周围环境的光照强度和用户调整屏幕亮度的行为数据；所述电量监测模块用于对设备电量进行监测，并分别记录设备使用状态下和进行充电时的时间戳；所述用户偏好分析模块用于对用户历史调整屏幕亮度的行为数据和历史设备电量进行分析，预测满足用户屏幕亮度偏好的个性化需求；所述像素电路调控模块用于通过调控像素电路对设备屏幕亮度进行调节。
G09G5/10  ,一种互动显示屏亮度自动感应控制方法 [发明],本发明涉及静态显示技术领域，具体涉及一种互动显示屏亮度自动感应控制方法，包括：获取显示屏亮度、环境光强度、空气相对湿度、互动灰度图像和互动显示屏亮度图像；计算显示屏眩光评估指数，并获取环境因子调整必要系数；根据互动灰度图像获取内容因子调整必要系数，进而获取显示屏亮度调整系数；构建湿度时间序列和亮度衰减时间序列，并获取湿度伴随系数；根据空气相对湿度和湿度伴随系数获取显示屏亮度衰减度，进而获取当前时刻的最佳显示屏亮度，并对互动显示屏亮度进行自动感应控制。本发明旨在解决由于互动显示屏亮度控制的影响因素复杂，导致难以综合各种影响因素实现对互动显示屏亮度最佳控制的问题。
G09G3/32  ,基于多传感器感应的LED显示控制系统及终端 [发明],本发明公开了基于多传感器感应的LED显示控制系统及终端，涉及LED显示控制技术领域，包括传感器模块、控制模块和终端显示模块；传感器模块用于实时监测终端显示模块周边环境的光照信息和环境色彩信息，实时监测终端显示模块自身的姿态信息；控制模块用于对光照强度信息进行处理，对色值和色温信息进行处理，发送对应控制指令调整显示位置；终端显示模块用于调节显示内容，调节终端显示模块的亮度，调节终端显示模块的显示色彩，调整终端显示模块显示内容的位置。本发明通过调节亮度和色彩来优化显示效果，同时利用基准定位方法调整显示内容的位置，提供更加自适应、均匀和色彩准确的显示效果。
F24F11/523  ,一种空调显示器及其控制方法、存储介质和空调 [发明],本发明提供一种空调显示器及其控制方法、存储介质和空调，所述方法包括：空调显示器，包括：可变色的LED灯组；所述可变色的LED灯组，包括：从左至右排列的第一灯组、第二灯组、第三灯组和第四灯组；所述第一灯组、所述第二灯组、所述第三灯组和所述第四灯组分别包括7组条状灯组，呈8字形排列。本发明提供的方案能够以低成本的LED灯组设计达到了LED显示屏的部分功能。
G09G3/36  ,智能显示器自动降低功耗方法、系统、设备及介质 [发明],本发明涉及低功耗控制领域，尤其涉及一种智能显示器自动降低功耗方法、系统、设备及介质。通过在智能显示器开启时获取预设的温度传感器针对智能显示器检测到的温度，并获取图像帧率，其中，图像帧率为传输至智能显示器的图像数据的帧率；基于图像帧率和预设的刷新率范围表确定刷新率范围，并将智能显示器的刷新率调整至刷新率范围；基于温度和预设的温度状态表确定温度状态，并将温度状态输出；在温度状态为低温状态时，基于刷新率范围确定适应功率，将智能显示器中背光源的功率调整至适应功率，关闭智能显示器的散热模块；并，在温度状态为高温状态时，开启智能显示器的散热模块；从而解决了现有技术中无法自动降低智能显示器的功耗的问题。
G09G5/10  ,基于环境因素的显示亮度控制方法、装置、设备及介质 [发明],本发明公开了一种基于环境因素的显示亮度控制方法、装置、设备及介质，该方法包括：获取目标大型显示屏播放视频时所处的当前区域；在当前区域为路口交汇区域时，确定目标大型显示屏的显示特性信息和当前区域的道路信息；根据显示特性信息和所述道路信息确定目标大型显示屏的亮度对于不同方位对象的视觉冲击特征值；根据视觉冲击特征值和当前区域的背景环境因素对目标大型显示屏的亮度进行控制；通过上述方式，在确定为路口交汇区域时，根据显示特性信息和道路信息综合确定该亮度对于不同方位对象的视觉冲击特征值，然后结合当前区域的背景环境因素控制目标大型显示屏的亮度，从而能够有效提高控制亮度的准确性，避免对用户的视线造成损害。
H02M3/156  ,电源管理系统及电子设备 [发明],本申请提供了一种电源管理系统及电子设备，控制器能够控制占空比调节模块输出的有效信号的占空比，占空比调节模块输出的有效信号能够控制占空比控制模块的导通，从而可以通过控制占空比控制模块的使能，来调节第一升压模块的输入端接收到的等效电压。当占空比控制模块输出的等效电压大于预设电压阈值时，控制器控制占空比调节模块降低输出的有效信号的占空比，使得占空比控制模块输出的等效电压下降，直至占空比控制模块输出的等效电压等于预设电压阈值，则控制器控制占空比调节模块保持输出的有效信号的占空比，以使占空比控制模块输出的等效电压稳定为预设电压阈值。从而能够减少能耗，减少OLED屏幕损坏的情况。
G09G3/3208  ,显示面板的补偿方法、电子装置、设备及存储介质 [发明],本申请公开了一种显示面板的补偿方法、电子装置、设备及存储介质。显示面板包括多个显示区域，方法包括：在各个灰阶的白色图像画面下，获取各个显示区域分别对应的第一光学参数信息；根据第一光学参数信息确定显示区域在各个单一颜色下对应的第一亮度补偿值；在显示各个灰阶的单一颜色图像画面下，获取各个显示区域分别对应的第二光学参数信息；根据第二光学参数信息确定显示区域的每个发光子像素分别对应的第二亮度补偿值；根据每个发光子像素对应的第二亮度补偿值及其所属的显示区域对应的第一亮度补偿值确定每个发光子像素的最终亮度补偿值。根据本申请实施例，能够利用最终亮度补偿值的两个分量分别实现亮度不均的mura补偿和色度不均的mura补偿。
H10K59/121  ,阵列基板 [发明],本申请实施例提供了一种阵列基板，阵列基板包括像素电路组，像素电路组包括沿第一方向排布的至少两个像素电路；沿阵列基板的厚度方向，阵列基板包括衬底和半导体层，半导体层设置有连接半导体部和像素电路的驱动半导体部，驱动半导体部包括第一目标连接端，像素电路包括复位晶体管，复位晶体管的一端与第一目标连接端电连接；连接半导体部用于连接像素电路组中的至少两个像素电路的第一目标连接端。本申请实施例能够改善局部亮斑或者暗斑的问题，提升显示面板的工艺性能和显示效果。
H03M1/66  ,一种调节LED显示屏驱动电流增益的DAC电路及方法 [发明],本申请公开了一种调节LED显示屏驱动电流增益的DAC电路及方法，属于LED技术领域，包括：基准电压模块，接收初始电压并输出基准电压；分段DAC调节模块，与基准电压模块连接，接收基准电压，并采用分段DAC电路对基准电压进行调节，输出调节电压，分段DAC调节模块包含最高有效位MSB子DAC模块和最低有效位LSB子DAC模块；输出电阻模块，与分段DAC调节模块连接，对分段DAC输出的调节电压进行处理，并输出驱动电流，驱动电流用于驱动LED显示屏。针对现有技术中存在的电阻数量多导致的调节效率低的问题，通过采用MSB子DAC模块粗调、LSB子DAC模块细调的分段DAC结构，以及使用MOS管开关选择电阻串电阻间电压的方式，简化电路，减少电阻数量，提高驱动电流调节的效率。
G09G3/36  ,显示面板的驱动方法、装置及显示设备 [发明],本申请公开了一种显示面板的驱动方法、装置及显示设备。该显示面板具有多个刷新率，多个刷新率包括第一刷新率和第二刷新率，第二刷新率小于第一刷新率，该驱动方法包括：控制显示面板以第一刷新率显示当前帧图像；基于第一刷新率、第二刷新率和当前帧图像，生成位于当前帧图像之后的插入图像；在当前帧图像显示完成之后的间隔时长内，控制显示面板显示插入图像，间隔时长基于第一刷新率和第二刷新率确定；在间隔时长之后，控制显示面板以第二刷新率显示下一帧图像，下一帧图像为位于当前帧图像的下一帧的图像。本申请能够在低帧率下在当前的帧图像后生成插入图像，以重复刷新当前的帧图像的画面信息，改善显示面板的闪烁问题，提高显示品质。
G09G3/36  ,一种电压生成电路及显示装置 [发明],本公开提供一种电压生成电路及显示装置，其包括：帧计数器，被配置为响应于启动信号，进行帧计数，并在帧数达到第一预设帧数时，输出第一控制信号；档位信息生成模块，被配置为根据所接收到的第一控制信号，输出相应的档位信息；修改指令控制模块，被配置为根据所述档位信息，以及预先存储的档位信息和电压修改指令的对应关系，生成电压修改指令；电压生成模块，被配置为根据所接收到的电压修改指令输出相应的工作电压；电压存储模块，被配置为根据所接收到的电压修改指令生成相应的工作电压并保存。
G09G3/36  ,供能电路及显示装置 [发明],本申请提供了一种供能电路，包括电源端以及输出端，电源端用于接收电源模块提供的电源信号，输出端连接用于输出图像数据信号对应的数据电压的数据驱动电路。供能电路还包括升压电路与调整控制电路，升压电路用于将自电源端接收的电压执行升压处理并自第一输出端输出。调整控制电路连接于第一输出端与输出端，用于在自电源端接收电压开始后的预设时段内控制第一输出端与输出端电性断开，且控制第一输出端与输出端的电压为低限电压，低限电压小于数据驱动电路启动工作的电压，在预设时段后控制第一输出端与输出端的电压为升压电路输出的电压。本申请实施例还提供包括前述供能电路的显示装置。
G09G3/00  ,一种数据同步装置和方法 [发明],本发明公开了一种数据同步装置，应用于显示面板的检测，包括：配置模块用于接收上位机的第一信号，以及向采样模块发送第二信号和对应的配置信号；采样模块用于根据第二信号采样数据，拉高该采样数据对应的第一标志位，并将采样数据和第一标志位发送至数据同步模块；数据处理模块用于接收采样数据和第一标志位，寄存采样数据，并按照一定时间间隔，将接收到的最新的第一标志位组合为第三信号，以及将采样数据和第三信号发送至数据同步模块；数据同步模块用于比较第一信号和第三信号，并在第一信号和第三信号相同时，输出并标记已同步的采样数据。本发明实现显示面板检测中，不同采样速率下对不同参数值的同步采样。
G09G3/20  ,显示装置 [发明],本申请提供一种显示装置，包括显示面板、驱动信号生成电路、驱动信号电压补偿电路。其中，驱动信号电压补偿电路包括：温度感测模块，用于感测显示面板的温度并生成对应的温敏电压；比较模块，与温度感测模块电性连接，用于将温敏电压与第一预设电压进行比较并生成比较结果；补偿模块，与比较模块和温度感测模块电性连接，用于根据比较结果通过补偿模块的高温模式电压补偿单元或低温模式电压补偿单元对待输出到栅极驱动电路的所述驱动信号的电压进行补偿。本申请中的驱动信号电压补偿电路能够依据显示面板的温度选择合适的补偿电压作为栅极驱动电压，改善了相关技术中，因温度发生变化导致TFT的IV曲线发生漂移，造成显示异常的问题。
G09G3/3291  ,显示面板及其亮度补偿方法、像素阵列、显示装置 [发明],本公开提供一种显示面板及其亮度补偿方法、像素阵列、显示装置，属于显示技术领域，其可解决现有的OLED显示产品所显示的画面容易出现多条暗纹，形成三分屏，影响显示效果的问题。本公开的显示面板，具有显示区及至少设置于显示区一侧的周边区，其中，显示面板包括：位于显示区的多行第一像素单元和多行第二像素单元；第二像素单元的行数小于第一像素单元的行数；在同一帧显示画面中，第一像素单元输入的第一数据电压小于第二像素单元输入的第二数据电压。
G09G3/36  ,显示装置的显示控制方法及显示装置 [发明],本发明提供一种显示装置的显示控制方法及显示装置，通过根据待显示画面对应的灰阶分布信息及侦测区域的划分信息，得到每一侦测区域对应的中低灰阶信息和高灰阶信息的占比和。通过根据占比和与第一预设占比之间的关系，于多个侦测区域中确定出预计需要进行补偿的预补偿区域。通过在预补偿区域中选取预设区域，以得到预设区域对应的中低灰阶信息的占比作为预占比，以根据预占比与第二预设占比之间的关系，于预补偿区域中确定出最终需要进行补偿的待补偿区域。通过对位于待补偿区域内的多个子像素的灰阶电压进行补偿，并控制待补偿区域内的多个子像素根据补偿后的灰阶电压进行显示，以实现对显示中低灰阶与高灰阶混杂画面的补偿。
G09G3/34  ,显示屏背光调节方法、装置、存储介质及电子设备 [发明],本申请公开了一种显示屏背光调节方法、装置、存储介质及电子设备，其中，该显示屏背光调节方法包括获取图像数据；提取图像数据的亮度参数和对比度参数；根据对比度参数和亮度参数获取分段线性补偿曲线和显示屏的背光系数；基于分段线性补偿曲线对图像数据的灰阶值进行调整；根据背光系数控制显示屏进行亮度输出，以对调整后的图像数据进行显示。本方案可以兼顾显示屏的图像质量与背光功耗。
H05B47/10  ,一种COB灯带的灯光显示控制方法、系统和存储介质 [发明],本发明公开了一种COB灯带的灯光显示控制方法、系统和存储介质，方法包括：通过预设观看位置、显示屏和背景墙之间位置关系进行计算，确定背景墙上灯带的第一显示区域和第二显示区域；获取显示屏标记区域的颜色信息；根据标记区域的颜色信息对第一显示区域灯光进行同步显示；根据用户观看角度对第一显示区域和第二显示区域的显示位置和显示参数进行调整；通过对比灯带显示参数和显示屏显示参数对灯带显示效果进行验证，对存在显示差异的显示区域进行校正。本发明将背景墙灯带与显示屏进行互联，通过调整灯带显示参数与显示屏进行显示互动，提高显示屏的显示效果。
G09G3/3208  ,显示装置及其调光电压获取方法、设备及存储介质 [发明],本申请公开了一种显示装置及其调光电压获取方法、设备及存储介质。方法包括：根据第一像素点的第一灰阶值，获取低于第一灰阶值的各个绑点灰阶分别对应的目标亮度值以及各个目标亮度值分别对应的目标Gamma电压；根据第一灰阶值对应的最大调光亮度和调光范围内的最大调光值确定调光范围内的各个调光值分别对应的显示亮度值；将每个目标亮度值对应的目标Gamma电压映射为与目标亮度值相匹配的绑点显示亮度值对应的调光Gamma电压；根据插值算法以及绑点显示亮度值的调光Gamma电压确定各个非绑点显示亮度值的调光Gamma电压。根据本申请实施例，获取绑点灰阶目标Gamma电压作为锚点对其他调光Gamma电压进行插值计算，从而提升算法得到的调光Gamma电压的准确性。
G09G3/34  ,背光模组和显示装置 [发明],本申请公开了一种背光模组和显示装置，所述背光模组包括背板、导光板、第一灯条和第二灯条，导光板设置在背板的底板上，第一灯条和第二灯条均设置在所述背板的侧板上，且第一灯条的出光侧和第二灯条的出光侧均朝向所述导光板的同一侧；所述背光模组还包括电流调节模块，所述电流调节模块包括输入端、第一输出端和第二输出端；所述第一输出端与所述第一灯条连接，所述第二输出端与所述第二灯条连接；所述电流调节模块监测所述第一灯条和所述第二灯条之间的亮度差异，调节所述第一输出端和所述第二输出端的电流大小，以使得第一灯条的亮度和第二灯条的亮度趋于一致。通过上述设计，解决第一灯条和第二灯条的亮度差异，提高画面的显示效果。
G09G3/3208  ,显示面板及显示装置 [发明],本发明提供一种显示面板及显示装置，显示面板包括R行像素电路、M行补偿电路、多条数据线、N条扫描线和驱动电路；其中，部分补偿电路与部分像素电路位于同一列，位于同一列的像素电路和补偿电路连接于同一条数据线，驱动电路包括级联的N级驱动单元，第一级至第R级驱动单元分别通过一条扫描线连接一行像素电路，并为相应行的像素电路提供驱动信号，第R级至第M级驱动单元分别通过一条扫描线连接一行补偿电路，并为相应行的补偿电路提供驱动信号，其中，在一个显示帧的非发光阶段，第一级驱动单元施加在对应的扫描线上的驱动信号包括至少两个导通脉冲，以改善显示面板显示时扫描末端区域的亮度偏暗的问题，提高显示效果。
G09G3/20  ,显示面板、其控制方法及显示装置 [发明],本申请提供了一种显示面板、其控制方法及显示装置。该显示面板包括显示区，非显示区、控制电路和至少一个第一焊盘和多个第二焊盘，其中非显示区包括多条源级连接线、多条时钟控制信号线、有源信号线；控制电路与两个驱动芯片电连接用于控制两个驱动芯片不同时向对应连接的有源信号线输出有源信号，以及不同时向对应连接的时钟控制信号线输出驱动信号；有源信号线的至少一端连接有第一焊盘，至少一个第一焊盘中的第一目标焊盘与多个第二焊盘中的第二目标焊盘连接相同驱动芯片，第二目标焊盘与第一目标焊盘的最小间距大于驱动芯片沿第二方向的二分之一长度增大了有源信号线的焊盘与时钟控制信号线的焊盘之间的距离提高了显示质量。
G02F1/1343  ,像素单元、显示面板以及显示装置 [发明],本申请提供一种像素单元、显示面板以及显示装置，所述像素单元包括像素电极、第一公共电极、第一晶体管、参考电极、缓冲电极和缓冲电路，第一晶体管的控制端用于接收第一扫描信号，第一晶体管的第一连接端用于接收数据电压，第一公共电极和像素电极构成液晶电容。缓冲电极与第一晶体管的第二连接端电连接，参考电极和缓冲电极构成缓冲电容。缓冲电路电连接于缓冲电极和像素电极之间。第一晶体管在接收到的第一扫描信号为开启电平时导通，并将接收到的数据电压写入缓冲电极以对缓冲电容充电，缓冲电路在第一晶体管接收到的第一扫描信号为开启电平时断开，从而防止数据电压波动引起液晶电容的两端电压差发生变化。所述像素单元能够改善串扰问题。
G09G3/36  ,扫描驱动电路和显示面板 [发明],本申请实施例公开一种扫描驱动电路和显示面板，包括n个扫描驱动单元，用于依次输出对应的扫描信号。扫描驱动单元包括上拉模块、输出控制模块、辅助下拉模块、下拉模块、第一节点和第二节点，上拉模块连接于第一节点，用将第一节点上拉至第二电位，输出控制模块连接于第一节点、当第一节点为第二电位时，输出控制模块控制扫描信号输出端输出扫描信号。辅助下拉模块连接于时钟信号端和第二节点，用于依据时钟信号控制第二节点为第一电位或第二电位，下拉模块连接于第二节点，用于在第二节点为第二电位时，下拉模块在预设时间内将扫描信号输出端的电位下拉至第一电位。通过设置辅助下拉模块使得多个扫描信号下降时间在预设范围内。
G09G3/3208  ,显示面板及显示装置 [发明],本发明提供一种显示面板及显示装置。显示面板包括多行像素电路、多条数据线、多条扫描线、驱动电路和多个补偿电容；其中，扫描线与数据线绝缘交叉设置，驱动电路用于按照设定的扫描顺序通过扫描线为各行像素电路提供驱动信号，以将数据信号写入对应行的像素电路，其中，驱动电路每次提供驱动信号时，同时通过至少两条扫描线向对应的像素电路提供驱动信号，补偿电容用于降低通过目标扫描线提供驱动信号时，写入对应行的像素电路的数据信号的电压，其中，目标扫描线为按照扫描顺序最后被扫描的一条或多条扫描线。采用本发明的方案，可以改善显示面板显示时扫描末端区域的亮度偏暗的问题，提高显示效果。
G09G3/32  ,一种显示屏控制系统 [发明],本发明提供了一种显示屏控制系统，包括控制器、驱动芯片、LED灯条，所述驱动芯片为多个，所述LED灯条为多个，多个驱动芯片分别与多个LED灯条相连，多个所述驱动芯片依次相连，所述控制器与所述驱动芯片相连；所述驱动芯片包括DI端口和DO端口，所述控制器输出数据至第一个驱动芯片，数据传输格式：帧头+数据+结束位，数据从DI端口进入，采用先进先得原则，保留自身数据，剩余数据重新整理后，转发下一驱动芯片，到最后一颗驱动芯片，D0端口输出尾帧：帧头+结束位；通过对尾帧的检测，达到检测此路信号是否通的目的。本发明的有益效果是:本发明通过检测尾帧实现对线路检测，确定线路是否异常，维护方便，极大降低成本。
G09G3/34  ,带有LED阴极电压保护的LED背光驱动电路 [发明],本发明公开了一种带有LED阴极电压保护的LED背光驱动电路，所述LED背光驱动电路包括：LED灯串、LED驱动芯片及电压钳位单元；所述LED灯串的阳极连接于驱动电源，所述LED灯串的阴极连接于LED驱动芯片，由LED驱动芯片控制LED灯串的点亮或熄灭；所述LED灯串的阴极与LED驱动芯片连接位置处的芯片引脚LED pin上设置有电压钳位单元，所述电压钳位单元用于控制所述LED灯串的阴极输入至LED驱动芯片的电压值。
