IPC主分类,发明名称,摘要
G06F12/02  ,用于访问存储器的方法和数据存储架构及计算设备 [发明],本申请提供一种用于访问存储器的方法和数据存储架构及计算设备，包括：接收当前存储场景下的存储请求，并获取待处理数据的命令序列；分析所述命令序列，自动生成多种可行的可选地址映射方式；对所述可选地址映射方式进行对比评估，计算所述可选地址映射方式的时间评估参数；根据所述时间评估参数优化更新存储控制器中地址映射方式。根据本申请的技术方案能够根据数据存储地址变化类型来动态调整系统地址与物理地址映射的方法，提高数据流架构存储器读写效率。
G06F9/50  ,音频播放的处理方法及电子设备 [发明],本申请实施例提供一种音频播放的处理方法及电子设备，涉及终端技术领域。该方法包括：当第一应用存在音频播放任务时，启动第一线程，其中，若音频播放任务存在时延要求，则第一线程为预设类型的线程。第一线程检测第一应用是否注册回调函数，以及检测第一线程是否为预设类型的线程，其中，回调函数用于从缓冲队列中获取第一应用写入的音频数据。若确定第一应用注册有回调函数，且第一线程为预设类型的线程，则第一线程提升系统的CPU频率。这样，通过提升系统的CPU频率，可以有效优化音频播放过程中的POP音问题。
G11C11/4074  ,存储阵列 [发明],本公开的实施例提供一种存储阵列。该存储阵列包括驱动控制电路和多个半导体存储装置。驱动控制电路包括参考电压选择电路、驱动电压产生电路。参考电压选择电路根据待写入的半导体存储装置的列选信号来输出参考电压。列选信号在半导体存储装置的数据写入期间处于有效电平。在列选信号从有效电平翻转为无效电平后的第一时间段内参考电压等于第二电压并且在其它时间段内参考电压等于第一电压。第二电压高于第一电压。驱动电压产生电路根据参考电压来生成驱动电压并在第一控制信号处于有效电平期间向半导体存储装置提供驱动电压。半导体存储装置包括感测放大器。感测放大器根据驱动电压来放大第一位线与第二位线之间的电压差。
G11C11/4074  ,半导体存储装置及降低其写恢复时间的方法、存储阵列 [发明],本公开的实施例提供一种半导体存储装置及降低其写恢复时间的方法、存储阵列。半导体存储装置包括第一和第二存储单元、控制信号产生电路、第一至第四开关电路、感测放大器。控制信号产生电路根据第一控制信号和列选信号生成第二和第三控制信号。第二控制信号在第一控制信号处于有效电平且列选信号翻转为无效电平时翻转为有效电平并维持处于有效电平达第一时间段。第三控制信号在第一控制信号翻转为有效电平时翻转为有效电平，在列选信号翻转为无效电平时翻转为无效电平并维持处于无效电平达第一时间段。第一开关电路在第三控制信号处于有效电平时向感测放大器提供第一电压。第二开关电路在第二控制信号处于有效电平时向感测放大器提供第二电压。
G11C29/12  ,一种基于存储器设备的自检数据管理系统及方法 [发明],本发明涉及自检数据管理技术领域。具体为一种基于存储器设备的自检数据管理系统及方法，自检数据管理系统包括数据采集模块、数据分析模块、存储异常管理模块和告警提醒模块；数据采集模块是用于采集存储设备的自检数据和不同存储区域中的历史存储数据；数据分析模块是用于分析异常存储区域以及存储区域之间的关联指向影响度；存储异常管理模块是用于分析判断自检数据信息检测的异常存储区域是否正确，并且分析判断自检数据检测正确率；告警提醒模块是当存储设备的自检数据信息检测异常存储区域的正确率低于预设正确率阈值时，进行告警提醒。本发明通过分析存储区域之间的关联性判断自检数据的检测正确率，避免由于自检数据不准确导致误判现象。
G11C29/00  ,固态硬盘的数据恢复方法、装置、设备及存储介质 [发明],本申请涉及数据处理技术领域，公开了一种固态硬盘的数据恢复方法、装置、设备及存储介质。所述方法包括：采用故障隔离算法对故障固态硬盘进行数据放大和数据整合，得到目标原始数据集；计算异常得分数据并动态调整损坏块状态；构建数据恢复逻辑并生成多个数据恢复策略；进行数据重构预测，得到重构预测数据并进行数据验证和特征检测，得到数据验证信息和策略特征信息；通过高斯线性回归模型进行特征回归预测，得到策略特征预测值；进行最优化分析，得到目标恢复策略，并根据目标恢复策略对多个原始数据进行动态数据重构，得到多个目标数据，本申请提高了固态硬盘的数据恢复准确率。
G11C11/406  ,存储器结构、刷新方法及存储器 [发明],本公开涉及半导体电路设计领域，特别涉及一种存储器结构、刷新方法及存储器，其中，存储器结构：刷新存储电路，设置于存储控制器中，用于存储补充刷新地址，补充刷新地址用于指示保存电荷能力存在缺陷的存储单元；刷新寄存器，设置于多个存储块的每一存储块中；其中，存储器结构在上电过程中，刷新存储电路将补充刷新地址传输至对应的刷新寄存器中；每一存储块被配置为，于行锤刷新期间，基于第一刷新窗口和行锤刷新标识对行锤地址执行刷新，或基于第二刷新窗口和补充刷新标识对补充刷新地址执行刷新；其中，第一刷新窗口和第二刷新窗口基于行锤刷新窗口分配，且第一刷新窗口和第二刷新窗口的比例为第一预设值。
G11C29/12  ,一种自动化抓取及校验固态硬盘信息的方法 [发明],本发明提供了一种自动化抓取及校验固态硬盘信息的方法，其能够及时有效的找出异常错误，节省宝贵的研发时间，其特征在于：所述方法包括以下步骤：步骤1、抓取固态硬盘的信息，生成初始文件；步骤2、执行测试项目；步骤3、在测试过程中，再次抓取固态硬盘的信息，生成临时文件；步骤4、进行信息校验；步骤5、判断测试结果。
G11C29/56  ,一种存储芯片的协议监测系统以及方法 [发明],本发明提供了一种存储芯片的协议监测系统，包括：至少一个测试主板，用以通讯连接于多个不同的测试终端，每个所述测试终端内设有至少一个存储芯片；主机端，用以选择对应的所述测试终端，并发送测试指令；其中，所述测试终端上电后，所述测试主板还用以获取所述测试终端内的通讯协议，对所述通讯协议进行解析处理，生成解析信息，并将所述解析信息存储至所述主机端的数据库中；所述主机端还用以对所述解析信息进行逻辑分析处理，以生成所述存储芯片的功能执行信息，并对所述功能执行信息进行协议差异化分析处理，生成协议监测结果。通过本发明提供的一种存储芯片的协议监测系统以及方法，能够提升存储芯片的协议差异性的测试效率。
G11C29/56  ,一种基于Android系统的嵌入式存储芯片老化测试系统和测试方法 [发明],本发明提供了一种基于Android系统的嵌入式存储芯片老化测试系统和测试方法，以改善传统测试模式限制于电脑、需要通过USB转接、无法客制化的缺点，其特征在于：所述测试系统包括PC端、Android测试平台和被测嵌入式存储芯片；所述PC端用于编译测试脚本和寿命老化测试程序；所述被测嵌入式存储芯片安装在Android测试平台上，所述Android测试平台用于调整测试脚本的参数和控制嵌入式存储芯片的读写。
G11C11/406  ,刷新控制结构、刷新控制方法及存储器 [发明],本公开涉及半导体器件结构设计领域，特别涉及一种刷新控制结构、刷新控制方法及存储器，其中，处理电路，被配置为，基于刷新窗口对待刷新地址执行刷新；计数电路，被配置为，生成所述待刷新地址，并基于计数时钟控制生成的所述待刷新地址加1；所述计数电路还被配置为，基于终止信号复位所述待刷新地址的最低位，且在复位所述待刷新地址的最低位的过程中，所述待刷新地址的次低位不变，至少用于提高存储器自刷新的准确性。
G11C29/56  ,一种DDR5内存模组测试电路、装置及方法 [发明],本发明公开了一种DDR5内存模组测试电路、装置及方法，该电路包括插座模块、主控模块、电源模块及开关模块；插座模块设有不同类型的DDR5插座，不同类型的DDR5插座用于插接不同类型的DDR5内存模组；电源模块连接于插座模块，用于为插座模块供电；主控模块连接于插座模块，用于接收上位机的指令并输出不同的驱动控制信号；开关模块连接于主控模块和插座模块，用于根据不同的驱动控制信号来选择开启不同类型的DDR5插座的电源，以使主控模块根据指令对已上电的DDR5插座上的DDR5内存模组进行测试。本申请提供的DDR5内存模组测试电路可以支持不同类型的DDR5内存模组测试，测试不同类型DDR5内存模组无需更换测试装置，测试起来更加方便，测试效率更高。
G11C11/407  ,5bit带符号位的同或与同或累加运算电路、CIM电路 [发明],本发明属于集成电路领域，具体涉及一种5bit带符号位的同或与同或累加运算电路、CIM电路。其具有数据存储和逻辑运算功能，该电路包括8T‑SRAM单元，以及由N1~N6，P1、P2构成的计算单元；N1的漏极接输出位线IBL1，N1的源极接N3的漏极；N2的漏极接输出位线IBL2，N2的源极接N4的漏极；P1的源极接输出位线CBL1，P1的漏极接N5的漏极；P2的源极接输出位线CBL2，P2、N6的漏极相连；N1、N2、P1和P2的栅极接运算节点FO；N3和N5的栅极接输入信号线INH；N4和N6的栅极接输入信号线INL；N3~N6的源极接地；本发明可以大幅提高神经网络中同或运算的数据处理效率。
G11C16/08  ,存储器控制方法、存储器存储装置及存储器控制电路单元 [发明],本发明提供一种存储器控制方法、存储器存储装置及存储器控制电路单元。所述方法包括：设定分别对应于多个实体抹除单元的多个预设读取次数阈值；在背景操作中，响应于多个实体抹除单元中的第一实体抹除单元的读取次数大于其对应的预设读取次数阈值，读取第一实体抹除单元中的多条字线以取得多个第一错误比特数；根据多个第一错误比特数判断是否需要对第一实体抹除单元进行更新操作；响应于不需要对第一实体抹除单元进行更新操作，选择多条字线中具有最大的第一错误比特数的第一字线，并且侦测第一字线的电压分布变化量；以及根据电压分布变化量计算第一实体抹除单元的新读取次数阈值。
G11C29/56  ,电源控制装置与电源测试系统 [发明],本申请提供一种电源控制装置与电源测试系统。该电源测试系统包括存储器和处理器，处理器用于执行如下步骤：获取至少一种掉电测试设备的至少一种供电路径方式；根据至少一种供电路径方式确定至少一种供电路径接口；根据至少一种供电路径接口确定至少一个电子开关；确定待测试的至少一个目标设备；根据至少一个目标设备获取对应的至少一条掉电测试指令，其中，每条掉电测试指令包括供电路径建立参数和掉电执行参数；根据供电路径建立参数，从至少一种供电路径接口和至少一个电子开关中，建立目标设备对应的目标供电路径；在目标供电路径上，根据掉电执行参数执行掉电操作。该电源测试系统能够显著提高存储设备的掉电测试效率。
G11C29/56  ,一种存储芯片的检测系统及检测方法 [发明],本发明提供一种存储芯片的检测系统及检测方法，检测系统包括平台测试模块，用以测试待测芯片的工作状态，当所述待测芯片处于正常工作状态时，所述平台测试模块将所述待测芯片的正常数据传递给主机，以生成所述待测芯片正常工作状态下的测试结果；以及分析子板模块，与所述平台测试模块通信连接；其中，当所述待测芯片处于异常工作状态时，所述分析子板模块向所述平台测试模块发送控制指令，使得所述待测芯片处于调试模式，所述分析子板模块将所述待测芯片的异常数据传递给主机，以生成所述待测芯片异常工作状态下的测试结果。本发明可以在存储芯片不解焊的情况下，获取其无法实现错误检查和纠正的原因。
G11C29/56  ,一种用于DDR5的测试电路及方法 [发明],本发明实施例提供了一种用于DDR5的测试电路及方法，电路包括：多个测试点通过转接板与测试基板相连接；测试基板包括第一开关模块、第二开关模块、第三开关模块、第四开关模块、采集模块、第一输出模块、第二输出模块及控制芯片；各测试点均分别与第一继电器开关的第一端及第二继电器开关的第一端相连接；第一继电器开关均并联设置于待测器件及第一开关之间，第二继电器开关均并联设置于待测器件及第二开关之间；第一继电器开关的第二端均与第一开关的第一端相连接；第二继电器开关的第二端均与第三开关的第一端相连接；控制芯片均与第二输出模块、第一输出模块及采集模块连接。本发明能有效提高测试效率。
G11C29/18  ,一种用于存储芯片测试机向量产生器的突发绕码系统 [发明],本发明公开了一种用于存储芯片测试机向量产生器的突发绕码系统，属于芯片测试技术领域，具体包括：在存储芯片上建立一个坐标系，产生逻辑地址（x，y），使用地址匹配算法将逻辑地址转换为物理地址（u，v），预先存储所有X/Y地址位对应的物理地址，并存储索引关系；标记初始X和Y地址位为突发地址，并根据初始物理地址设置突发长度N，对Y地址位进行突发操作，保持X地址位的物理地址不变，Y地址位的物理地址自动加1，直到达到N轮次后停止；然后，获取下一个X地址位的物理地址和首个Y地址位的物理地址，作为下一轮的初始突发地址，重复突发操作；本发明实现了对存储芯片逻辑地址准确且快速的绕码。
G11C29/12  ,一种存储设备的IO性能测试方法 [发明],本发明涉及性能测试领域，本发明提供了一种存储设备的IO性能测试方法，搭建负载测试环境，在负载测试环境中配置存储设备，对存储设备进行IO负载测试，记录存储设备在IO负载测试过程中的性能数据，对所述性能数据进行失衡落点检测，得到失衡数据，利用失衡数据构建失衡测定模型。所述方法能够有效地评估存储设备的IO性能，并及时发现存储设备中可能存在的异常，利用实时IOPS数据构建失衡测定模型以检测存储设备在高负载读写状态下的稳定性和可靠性，通过对存储设备在持续工作过程中是否存在某些瞬间的性能波动进行判断，进而对存储设备进行维护，避免数据读写延迟或失败，充分提高存储设备的使用性能和稳定性。
G09G3/3266  ,栅极驱动电路和显示装置 [发明],本发明公开了一种栅极驱动电路和显示装置，属于显示技术领域。栅极驱动电路包括：级联连接的多级移位寄存器；本级所述移位寄存器的信号输出端连接下一级所述移位寄存器的信号输入端；所述移位寄存器包括：两个串联连接于所述移位寄存器的信号输入端和信号输出端之间的受控反相模块；所述受控反相模块包括时钟端、输入端和输出端，所述受控反相模块用于根据所述时钟端的信号，控制是否将所述受控反相模块的输入端接入的信号反相后输出。本发明实施例可以简化栅极驱动电路的结构，有利于显示面板窄边框的实现。
G11C29/56  ,一种闪存盘出厂用多规格质检装置 [发明],本发明公开了一种闪存盘出厂用多规格质检装置，属于闪存盘检测领域，包括检测台，检测台上设置有待检测的U盘，检测台一侧顶端连接有液压缸，液压缸输出端连接有移动座，移动座上方设置有两个限位框，检测台另一侧顶端连接有固定座，固定座顶端连接有检测电源，固定座侧壁通过两个固定板分别连接有两个滑动推杆，滑动推杆外侧壁连接有限位电磁板。本发明通过移动座和检测插座的设置，可以检测出U盘在快插和慢插两种状态下是否均可有效工作，便于了解U盘的兼容性情况，使得产出的U盘适用性更强，同时拉杆和检测套的设置，可以检测出U盘的内部电路板和外部USB接口的焊接强度，使得USB接口在一定拉力作用下可以正常使用。
G11C29/50  ,一种用于提升精度的校准数据存储以及调用方法 [发明],本发明公开了一种用于提升精度的校准数据存储以及调用方法，属于芯片测试技术领域，具体包括：调试通道板，生成专属ID并写入EEPROM；选择对应信号，计算偏移和增益参数，存储并校准ADC；对专用测试芯片进行DC校准，将数据存储在EWS和通道板内；测试时，读取每个SLOT的通道板卡ID，根据SLOT与ID的关系调用EWS内校准数据，计算下发值至通道板内；第二可编程逻辑器件将控制数据分发至专用测试芯片；测试中，第二可编程逻辑器件根据当前测试项目和温度从校准数据存储器件读取校准数据，代入专用测试芯片；第一可编程逻辑器件生成测试向量进行测试；本发明用有限的存储空间提高了存储精度。
G06F30/392  ,存储芯片的布局设计方法、装置、设备及存储介质 [发明],本申请涉及芯片布局设计技术领域，公开了一种存储芯片的布局设计方法、装置、设备及存储介质。方法包括：对堆叠存储芯片进行多角度图像采集和图像融合，得到目标堆叠芯片图像；通过第一堆叠芯片布局分析模型进行多层芯片封装位置检测，得到第一堆叠芯片封装检测数据；通过第二堆叠芯片布局分析模型进行多层芯片封装间隙检测，得到第二堆叠芯片封装检测数据；进行封装布局特征分析，得到多个第一封装布局特征并进行封装布局特征分析，得到多个第二封装布局特征；基于多个第一封装布局特征以及多个第二封装布局特征进行堆叠芯片封装布局参数优化，生成目标堆叠芯片封装布局方案，本申请提高了存储芯片的布局设计的准确率。
G11C29/18  ,用于检测存储器故障的测试方法和测试电路 [发明],本申请公开用于检测存储器故障的测试方法和测试电路。测试方法包括对存储器的待测试存储空间执行如下多次读写操作：按地址降序或地址升序进行写0操作，按地址降序进行读0操作、写1操作，按地址升序进行多次读1操作、写0操作、读0操作、写1操作，按地址升序进行读1操作、写0操作、读0操作，按地址升序进行多次读0操作、写1操作、多次读1操作、写0操作，按地址升序进行读0操作；将多次读写操作中读出的数据与期望数据进行比较，以确定待测试存储空间内是否有地址存在故障。该测试方法实现了故障检测覆盖率的提高。
G11C11/408  ,字线驱动电路及其控制方法、存储器 [发明],本公开提供了一种字线驱动电路及其控制方法、存储器，该字线驱动电路包括多个字线驱动器；每一字线驱动器的输出端与一条字线对应连接，每一字线驱动器配置为开启或关闭对应连接的字线；字线驱动器，配置为在执行字线开启操作的第一阶段和第二阶段中，若所连接的字线被选中为目标字线，则向目标字线提供开启电压，以开启目标字线；或者，若所连接的字线与目标字线相邻，则在字线开启操作的第一阶段向所连接的字线提供强关闭电压，并在字线开启操作的第二阶段向所连接的字线提供常规关闭电压；强关闭电压小于常规关闭电压，常规关闭电压小于开启电压。
G11C29/00  ,一种冗余地址寄存器结构、冗余地址寄存器阵列及存储器 [发明],本公开实施例提供了一种冗余地址寄存器结构、冗余地址寄存器阵列及存储器，该冗余地址寄存器结构包括寄存器单元和读出电路，每一寄存器单元包括依次连接的写选择电路、锁存电路和读选择电路；写选择电路用于在写使能信号处于使能状态时，将初始数据和反相初始数据写入锁存电路；锁存电路用于对初始数据和反相初始数据进行锁存处理；读选择电路用于在读使能信号处于使能状态时，通过读出电路读出锁存电路锁存的初始数据或反相初始数据，得到目标数据。
G11C29/12  ,闪存硬盘的测试方法、测试装置、测试设备及介质 [发明],本发明公开了一种闪存硬盘的测试方法、测试装置、测试设备及介质，测试方法包括获取与待测闪存硬盘相匹配的平台序列信息；获取与平台序列信息相匹配的所有测试工程序列；控制待测闪存硬盘按照测试工程序列进行测试；判断待测闪存硬盘是否处于复位续测状态；若判断结果为处于复位续测状态，则收集未完成的测试工程序列；控制待测闪存硬盘按照未完成的测试工程序列进行测试。可根据不同地测试服务器的闪存硬盘类型，选择最优调度平台系统。另外，若闪存硬盘出现处于复位续测状态时，则收集未完成的测试工程序列，且控制待测闪存硬盘按照未完成的测试工程序列进行测试，从而确保待测闪存硬盘能够完成所有测试项目。
G11C29/56  ,一种存储器验证系统 [发明],本申请涉及一种存储器验证系统，其属于存储器验证技术领域，包括控制模块连接存储器芯片，用于接发信号以及处理数据；器件检测模块连接控制模块，用于对存储器芯片进行工位检测；验证模块连接控制模块，用于对存储器芯片进行功能测试；指示模块连接控制模块，用于根据器件检测模块和验证模块反馈的信号进行指示；电源模块连接控制模块，用于为控制模块提供电能。本申请具有提高了对存储器芯片的测试效率的效果。
G11C11/4091  ,半导体存储器 [发明],本申请提供一种半导体存储器，包括：第一放大模块、第二放大模块以及第一读出电路，第一放大模块和第二放大模块均与本地数据线连接，第一放大模块和第二放大模块均与互补本地数据线连接，第一放大模块和第二放大模块均用于放大本地数据线和互补本地数据线上的电压差。第一读出电路包括第一晶体管和第二晶体管，第一晶体管的控制端连接本地数据线，第一晶体管的第一端用于连接互补全局数据线，第一晶体管的第二端连接第三电源信号，第二晶体管的控制端连接互补本地数据线，第二晶体管的第一端用于连接全局数据线，第二晶体管的第二端连接第三电源信号。如此无需设置尾管，可提高放大速度，缩短放大时间，保证数据传输准确性。
G11C29/18  ,一种用于高密度测试芯片地址稳定性的检测方法及装置 [发明],本发明提供了一种用于高密度测试芯片地址稳定性的检测方法及装置，包括：获取所述测试芯片的第一地址信号；预定义纠错编码规则；根据所述纠错编码规则，基于所述第一地址信号进行编码，得到纠错码；基于所述第一地址信号和所述纠错码，得到第二地址信号；选取所述第二地址信号中的至少一个信号位，得到第三地址信号；将所述第三地址信号连接焊盘监测，得到第一序列信号；根据所述第一序列信号确定第一地址信号的稳定性。本发明利用有限的与地址相关的信息监测内部地址正确性与稳定性，通过这种方式能够更高效实现检测，同时节省了焊盘资源，提高了待测器件的密度。
G11C29/00  ,电子熔断器、控制方法以及计算机可读存储介质 [发明],本公开提供了一种电子熔断器、控制方法以及计算机可读存储介质，其中，电子熔断器包括：至少一个熔丝模块、至少一个判断逻辑模块、读取逻辑模块和烧写逻辑模块。每个熔丝模块，包括n个电子熔丝；n大于等于2，每一所述熔丝模块对应一个数据位。读取逻辑模块，连接至少一个熔丝模块，被配置为读取每个电子熔丝的状态。每个判断逻辑模块，连接读取逻辑模块，被配置为根据对应的熔丝模块中n个电子熔丝的状态，输出一个逻辑值；烧写逻辑模块，连接至少一个熔丝模块，被配置为接收烧写信号，并基于烧写信号，对电子熔丝进行熔断。这样，多个电子熔丝的状态对应一个逻辑值。从而，避免电子熔丝故障造成逻辑值出错，提高了熔丝模块的良率。
G11C16/08  ,可电擦写的非易失性半导体存储装置 [发明],本申请实施例提供一种可电擦写的非易失性半导体存储装置，应用于外部接口电路和逻辑电路，具有至少一个具有单层栅极结构的MIS晶体管，包括：选择晶体管，选择晶体管包括在第一导电类型阱中具有第二导电类型的源极和第二导电类型的漏极的MIS晶体管；存储晶体管，存储晶体管包括在第二导电类型阱中具有第一导电类型的源极和第一导电类型的漏极的MIS晶体管；选择晶体管的源极与存储晶体管的漏极相连，选择晶体管的漏极与位线相连，选择晶体管的栅极与字线相连；存储晶体管的源极与源极线相连，存储晶体管的栅极电气浮置；存储晶体管与共享字线的另一存储晶体管共享第二导电类型阱。至少有利于提高存储晶体管保存性能和重写性能。
G11C5/14  ,存储芯片的门限电压调节方法、装置、设备及存储介质 [发明],本发明涉及电压调节的技术领域，公开了一种存储芯片的门限电压调节方法、装置、设备及存储介质，本发明通过采集存储芯片在各个时刻的栅极电压信号、编译标准以及编译结果，得到由各个时刻的信号编译行为组成的信号编译序列，基于信号编译序列提取特征得到由编译离散参数组成的编译离散序列，通过对编译离散序列的分析，生成理论编译标准，并根据对存储芯片现有的错误编译行为对理论编译标准进行调节，得到最终编译标准，以使得门限电压能够修正错误编译行为，同时可以适应存储芯片的信号现状，解决了现有技术中存储芯片的门限电压呈固定状态，无法针对栅极电压的变化及时调节，导致存储错误的问题。
G11C11/4091  ,半导体存储器 [发明],本申请提供一种半导体存储器，包括：第一放大模块、第一控制管、第二控制管以及第二放大模块；第一放大模块的至少部分电路结构与第二放大模块的至少部分电路结构相同，第一放大模块与位线和互补位线连接，用于放大位线和互补位线之间的电压差，第二放大模块与本地数据线和互补本地数据线连接，用于放大本地数据线和互补本地数据线之间的电压差，本地数据线通过第一控制管与位线连接，互补本地数据线通过第二控制管与互补位线连接，第一控制管的控制端和第二控制管的控制端接收列选择信号。使得第一放大模块的版图结构和第二放大模块的版图结构相似，可以采用统一的制备工艺进行器件制备，降低工艺难度。
